precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc
9900000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,128000.0,NEGRO,NEGRO,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9940000,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,60747.0,BLANCO,GRIS,4,San José,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
9940000,2000.0,SUV 4WD/AWD,5.0,Híbrido,Automática/Dual,Excelente,98362.0,CELESTE,NEGRO,4,San José,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,0.0
9940000,2400.0,SUV 2WD,7.0,Gasolina,Automática/Dual,Excelente,104000.0,NEGRO,NEGRO,4,Alajuela,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,1.0
9975000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,142472.0,BLANCO,NEGRO-GRIS,4,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9975000,3300.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,125815.0,CAFE,BEIGE-CAFÉ,4,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0
10000000,1600.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,114000.0,BLANCO,BLANCO,4,Heredia,9.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0
10000000,2200.0,SUV 2WD,7.0,Diesel,Automática/Dual,Excelente,87000.0,GRIS,NEGRO,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,1.0
10000000,2200.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,145526.0,GRIS,CAFE CUERO,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0
9950000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,80789.0,BLANCO,NEGRO,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9950000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,73800.0,GRIS RATON,NEGRO,5,Cartago,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,2.0
9999990,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,68000.0,NEGRO,NEGRO,4,San José,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
10000000,2400.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,87000.0,BLANCO,GRIS,4,Heredia,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,1.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,85600.0,AZUL,NEGRO,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,90000.0,BRONCE,BEIGE,5,San José,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
10000000,2200.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Muy Bueno,156795.0,BLACK,BLACK,4,Puntarenas,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,1.0
10000000,2800.0,Camión 1.0-3.5 ton.,3.0,Diesel,Manual,Bueno,213000.0,BLANCO,GRIS,2,Limón,9.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,0.0
10000000,1996.0,Sedán,5.0,Gasolina,Manual,Excelente,109150.0,NEGRO,NEGRO,4,San José,9.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0
10000000,3500.0,SUV 2WD,7.0,Gasolina,Automática/Dual,Muy Bueno,208029.0,BLANCO,NEGRO,5,San José,9.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,1.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,180246.0,VINO,BEIGE Y GRIS,5,Alajuela,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,57000.0,GRIS,NEGRO,5,Heredia,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
10000000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,68000.0,GRIS,NEGRO,5,Alajuela,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,98170.0,AZÚL,CAFÉ,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
10000000,2000.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,67000.0,BLANCO,GRIS/ NEGRO,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
10000000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Muy Bueno,35000.0,GRIS,NEGRO,5,San José,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,2.0
10000000,2000.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,71000.0,BLANCO,BEIGE,4,Cartago,9.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0
10188500,3600.0,SUV 4WD/AWD,4.0,Gasolina,Automática/Dual,Excelente,137536.0,GRIS,No indica,4,San José,9.0,JEEP,USA,DESCONOCIDO,0.0174816096927736,0.0
10188500,1600.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,56999.0,BLANCO,BLANCO CUERO,4,Heredia,9.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0
10200000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,134000.0,BRONCE,NEGRO,5,Guanacaste,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
10200000,3600.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,94000.0,AZÚL,NEGRO,5,Heredia,9.0,JEEP,USA,DESCONOCIDO,0.0174816096927736,0.0
10200000,4000.0,SUV 2WD,2.0,Diesel,Manual,Excelente,90000.0,BLANCO,BLANCO Y NEGRO,2,Cartago,9.0,HINO,DESCONOCIDO,DESCONOCIDO,0.0016443098225876,0.0
10200000,2500.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,209214.0,BLANCO,NEGRO,4,Heredia,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
10200000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,81442.0,AZUL,NEGRO,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
10250000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,78668.0,GRIS PLATA,NEGRO,5,Cartago,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
10250000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,145000.0,NEGRO,NEGRO,5,Alajuela,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
10500000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,137200.0,BLANCO,NEGRO,5,Alajuela,9.0,JAGUAR,DESCONOCIDO,DESCONOCIDO,0.0012981393336218,0.0
10300000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,89389.0,AZUL,NEGRO,4,San José,9.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0
10300000,2000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,99000.0,AZUL,NEGRO,4,San José,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
10387300,3500.0,SUV 4WD/AWD,4.0,Gasolina,Automática/Dual,Excelente,70615.0,BLANCO,No indica,4,San José,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
10400000,2300.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,173000.0,GRIS,NEGRO,5,Cartago,9.0,FORD,USA,GENERALISTA,0.0259627866724361,1.0
10500000,1500.0,Sedán,5.0,Gasolina,Automática/Dual,Excelente,146000.0,GRIS,NEGRO,4,Cartago,9.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0
10500000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Muy Bueno,143000.0,BLANCO,NEGRO,5,Cartago,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
10500000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,87000.0,PLATA,NEGRO,4,Heredia,9.0,JAGUAR,DESCONOCIDO,DESCONOCIDO,0.0012981393336218,0.0
10500000,2400.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,78000.0,GRIS,GRIS,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,1.0
10500000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,120000.0,GRIS,NEGRO,5,San José,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
10500000,2000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,79000.0,CHAMPAGNE,BEIGE,5,San José,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
