marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Toyota,PRADO,9750000,3000.0,SUV 4WD/AWD,5.0,Diesel,Manual,Excelente,350000.0,BEIGE,GRIS,3,San José,25.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,PRADO,9800000,3000.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Muy Bueno,347000.0,ROJO,BEIGE,5,Alajuela,24.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Ford,F150 LARIAT,9000000,5400.0,Pick Up 4WD,5.0,Híbrido,Automática/Dual,Muy Bueno,302556.0,NEGRO,BEIGE,4,Alajuela,22.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Toyota,4RUNNER SR5,9175000,4000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,233343.0,BLANCO,GRIS-NEGRO,5,Guanacaste,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX,9200000,3000.0,Pick Up 4WD,5.0,Diesel,Manual,Muy Bueno,352000.0,GRIS,GRIS-BEIGE,4,Heredia,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Nissan,FRONTIER,9250000,3000.0,Pick Up 4WD,5.0,Diesel,Manual,Muy Bueno,257000.0,GRIS,GRIS,5,San José,21.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,0.0,Premium
Dodge/RAM,RAM 1500,9500000,5700.0,Pick Up 2WD,6.0,Gasolina,Automática/Dual,Muy Bueno,110900.0,GRIS,NEGRO,4,Cartago,23.0,DODGE,USA,DESCONOCIDO,0.0077022933794893,0.0,Premium
Isuzu,NPR,9500000,4700.0,Camión 4.0-4.5 ton.,3.0,Diesel,Automática/Dual,Bueno,500.0,BLANCO,GRIS,2,Heredia,23.0,ISUZU,DESCONOCIDO,COMERCIAL,0.0135871916919082,0.0,Premium
Toyota,HILUX,9700000,2800.0,Pick Up 4WD,3.0,Diesel,Manual,Muy Bueno,184250.0,BLANCO,GRIS Y NEGRO,2,Alajuela,24.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,0.0,Premium
Toyota,LAND CRUISER PRADO VX,9850000,3000.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Muy Bueno,391000.0,GRIS CLARO,GRIS OSCURO,5,Alajuela,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,4RUNNER,10500000,4000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,275197.0,BLANCO,GRIS,5,San José,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,HILUX SR5,10750000,2800.0,Pick Up 4WD,5.0,Diesel,Manual,Excelente,362000.0,ROJO,GRIS,4,Guanacaste,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Dodge/RAM,RAM 3500 CUMMINS,10350000,6000.0,Pick Up 4WD,6.0,Diesel,Automática/Dual,Bueno,279394.0,ROJO,BEIGE,5,Heredia,23.0,DODGE,USA,DESCONOCIDO,0.0077022933794893,0.0,Premium
Toyota,4RUNNER,10475000,3000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,203000.0,GRIS,GRIS,4,Alajuela,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
