marca,modelo,precio_crc,precio_usd,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,impuestos_pagados,precio_negociable,recibe_vehiculo,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado
Toyota,RAV4,6750000,13581,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,197000,PLATEADO,GRIS,5,SI,SI,NO,Heredia,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Kia,SORENTO,6950000,13984,2200,SUV 4WD/AWD,7,Diesel,Automática/Dual,Excelente,72000,CREMA,NEGRO,5,SI,SI,SI,San José,16,KIA,COREA,GENERALISTA,0.0618779749026396
Honda,CRV,6650000,13380,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,142000,GRIS,NEGRO,5,SI,SI,NO,Heredia,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,TUCSON,6650000,13380,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,70000,GRIS,NEGRO,4,NO,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6700000,13481,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,84000,GRIS,NEGRO,5,SI,SI,NO,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV,6700000,13481,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,220000,NEGRO,NEGRO,5,SI,SI,NO,Alajuela,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,TUCSON,6700000,13481,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,67000,CEREZA,NEGRO,5,SI,NO,SI,Heredia,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV,6850000,13783,2400,SUV 4WD/AWD,5,Gasolina,Manual,Excelente,138000,ROJO,NEGRO,5,SI,SI,NO,San José,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
BMW,X5,6900000,13883,3000,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,214000,PLATA,NEGRO,5,SI,SI,SI,Alajuela,16,BMW,ALEMANIA,PREMIUM,0.0410212029424492
Hyundai,TUCSON TDI,6900000,13883,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,67000,BLANCO,NEGRO,5,SI,SI,NO,Heredia,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV,6900000,13883,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,140013,CELESTE,BEIGE,5,SI,SI,SI,Guanacaste,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,STAREX,6900000,13883,2500,Microbús/Minivan,10,Gasolina,Automática/Dual,Excelente,163000,BLANCO,GRIS,4,SI,SI,SI,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV EXL,7000000,14085,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,124440,NEGRO,GRIS Y NEGRO,5,SI,NO,NO,San José,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Toyota,RAV4,7000000,14085,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,222089,PLATA,GRIS,5,SI,SI,NO,Heredia,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Nissan,XTERRA,7275000,14638,4000,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,148661,NEGRO,NEGRO,4,SI,NO,SI,San José,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Hyundai,TUCSON,7000000,14085,2400,SUV 2WD,5,Híbrido,Automática/Dual,Excelente,78,CELESTE,GRIS,4,SI,SI,SI,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Toyota,RAV4,7000000,14085,2400,SUV 2WD,5,Gasolina,Manual,Excelente,126000,NEGRO,GRIS,4,SI,SI,NO,Heredia,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Hyundai,TUCSON,7000000,14085,2000,SUV 2WD,5,Diesel,Automática/Dual,Muy Bueno,78000,GRIS,NEGRO,4,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,PILOT,7150000,14386,3500,SUV 4WD/AWD,8,Gasolina,Automática/Dual,Excelente,152000,CHAMPAGNE,BEIGE,5,SI,SI,NO,Cartago,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,TUCSON GL,7150000,14386,2000,SUV 2WD,5,Diesel,Automática/Dual,Muy Bueno,79000,PLATEADO,NEGRO,5,SI,SI,SI,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CIVIC SI,7200000,14487,2400,Sedán,5,Gasolina,Manual,Excelente,226000,NEGRO,NEGRO,4,SI,NO,NO,Heredia,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Honda,PILOT EXL,7200000,14487,3500,SUV 4WD/AWD,8,Gasolina,Automática/Dual,Excelente,269000,AZUL,GRIS,4,SI,SI,SI,Cartago,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,STAREX,7200000,14487,2500,Microbús/Minivan,10,Diesel,Automática/Dual,Excelente,254000,GRIS,GRIS,5,SI,NO,NO,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,7200000,14487,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,110,BLANCO,GRIS,4,SI,SI,NO,Guanacaste,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,GRAND STAREX,7200000,14487,2500,Microbús/Minivan,10,Diesel,Manual,Excelente,172000,CELESTE,GRIS,5,SI,SI,NO,Cartago,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Jeep,CHEROKEE,7250000,14588,2400,SUV 4WD/AWD,5,Diesel,Automática/Dual,Muy Bueno,146500,PLATA,GRIS,5,SI,SI,NO,Alajuela,16,JEEP,USA,DESCONOCIDO,0.0174816096927737
Honda,CRV,7300000,14688,2400,SUV 4WD/AWD,5,Gasolina,Manual,Excelente,180000,NEGRO,GRIS,5,SI,NO,SI,Alajuela,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Toyota,RAV4 SPORT,7300000,14688,2500,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,98500,VERDE,VERDE,5,SI,NO,SI,Heredia,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Honda,CRV EXL,7400000,14889,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,129552,NEGRO,NEGRO,5,SI,SI,NO,San José,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Mitsubishi,NATIVA,7500000,15091,2835,SUV 4WD/AWD,5,Diesel,Manual,Muy Bueno,330000,PLATEADO,GRIS,5,SI,NO,NO,San José,16,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407
Toyota,RAV4 LIMITED,7575000,15241,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,158164,NEGRO,GRIS,4,SI,NO,SI,San José,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Honda,CRV LX,7875000,15845,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,175669,VERDE,NEGRO-BEIGE,5,SI,SI,SI,Guanacaste,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Nissan,PATHFINDER,7899000,15893,4000,SUV 4WD/AWD,7,Híbrido,Automática/Dual,Excelente,160000,BLANCO,BEIGE,5,SI,SI,SI,Alajuela,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Kia,SORENTO,7500000,15091,2000,SUV 2WD,7,Diesel,Automática/Dual,Excelente,74413,GRIS,NEGRO,4,SI,NO,NO,Alajuela,16,KIA,COREA,GENERALISTA,0.0618779749026396
Kia,SORENTO,7500000,15091,2000,SUV 2WD,7,Diesel,Automática/Dual,Excelente,72949,GRIS,NEGRO,4,SI,NO,NO,Alajuela,16,KIA,COREA,GENERALISTA,0.0618779749026396
Hyundai,TUCSON,7500000,15091,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,140000,BLANCO,NEGRO,5,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Kia,SORENTO,7500000,15091,2200,SUV 4WD/AWD,7,Diesel,Automática/Dual,Excelente,58824,NEGRO,NEGRO,4,SI,NO,NO,Alajuela,16,KIA,COREA,GENERALISTA,0.0618779749026396
Nissan,FRONTIER,7500000,15091,4000,Pick Up 4WD,4,Gasolina,Automática/Dual,Bueno,265541,NEGRO,GRIS,4,SI,NO,NO,Alajuela,16,NISSAN,JAPON,GENERALISTA,0.0888792730419732
Toyota,RAV4,7500000,15091,2400,SUV 4WD/AWD,5,Gasolina,Manual,Excelente,175000,BLANCO,BEIGE,4,SI,SI,SI,Guanacaste,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Kia,SORENTO,7500000,15091,2200,SUV 2WD,5,Diesel,Automática/Dual,Excelente,160000,GRIS,NEGRO,5,SI,SI,NO,Cartago,16,KIA,COREA,GENERALISTA,0.0618779749026396
Hyundai,TUCSON,7500000,15091,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,89000,GRIS OSCURO,NEGRO,5,SI,SI,NO,Heredia,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
